,user,text,favorite_count,retweet_count,created_at
110,SismologicoMX,"Preliminar: SISMO Magnitud 4.2 Loc. 390 km al SUR de CABO SAN LUCAS, BCS 07/01/23 04:45:06 Lat 19.40 Lon -109.42 Prof 10",53,4,2023-01-07 10:54:01+00:00
111,SismologicoMX,"SISMO Magnitud 4.1 Loc  63 km al SUROESTE de COALCOMAN, MICH 06/01/23 23:56:29 Lat 18.28 Lon -103.46 Pf 6 km https://t.co/wNktQZMVOg",184,19,2023-01-07 06:25:05+00:00
112,SismologicoMX,"SISMO Magnitud 4.1 Loc. 63 km al SUROESTE de COALCOMAN, MICH 06/01/23 23:56:29 Lat 18.28 Lon -103.46 Pf 6 km",94,7,2023-01-07 06:25:01+00:00
113,SismologicoMX,"SISMO Magnitud 3.5 Loc. 79 km al SUR de COALCOMAN, MICH 06/01/23 16:51:14 Lat 18.09 Lon -103.35 Pf 14 km",77,11,2023-01-07 02:02:25+00:00
114,SismologicoMX,"SISMO Magnitud 3.6 Loc. 48 km al SUROESTE de CD HIDALGO, CHIS 06/01/23 15:42:58 Lat 14.35 Lon -92.44 Pf 11 km",33,7,2023-01-07 02:02:21+00:00
115,SismologicoMX,"SISMO Magnitud 3.7 Loc. 44 km al NORTE de CRUCECITA, OAX 06/01/23 14:59:08 Lat 16.16 Lon -96.06 Pf 18 km",34,6,2023-01-07 02:02:17+00:00
116,SismologicoMX,"SISMO Magnitud 3.2 Loc. 10 km al SUR de PINOTEPA NACIONAL, OAX 06/01/23 14:53:05 Lat 16.25 Lon -98.03 Pf 4 km",39,7,2023-01-07 02:02:13+00:00
117,SismologicoMX,"SISMO Magnitud 3.7 Loc. 17 km al NOROESTE de RIO GRANDE, OAX 06/01/23 13:25:50 Lat 16.14 Lon -97.52 Pf 14 km",31,5,2023-01-07 02:02:10+00:00
118,SismologicoMX,"SISMO Magnitud 3.6 Loc. 22 km al SUR de CIHUATLAN, JAL 06/01/23 16:58:35 Lat 19.04 Lon -104.55 Pf 29 km",40,5,2023-01-07 02:02:06+00:00
119,SismologicoMX,"SISMO Magnitud 3.5 Loc. 17 km al SUROESTE de OMETEPEC, GRO 06/01/23 16:55:33 Lat 16.55 Lon -98.48 Pf 7 km",37,9,2023-01-07 02:02:02+00:00
